year,life_expectancy,undernourishment,CO2,health_expenditure,education_expenditure,unemployment,sanitation,country_id,continent_id,income_group_id
2001,55.089,3.9,320540.0,7.93901682,4.63617992401123,30.6900005340576,,171,1,2
2001,44.615,,1840.0,6.55248451,,13.5089998245239,,172,1,0
2001,44.01,,13900.0,,,5.35500001907349,30.33755841,173,1,1
2002,56.784,45.6,1029.99997138977,9.44338989,,11.2569999694824,,0,0,0
2002,47.702,63.2,15689.9995803833,3.32946134,,3.96099996566772,,1,1,1
2002,74.579,6.1,3759.99999046326,6.90934134,3.11779999732971,17.8950004577637,40.80820221,2,2,2
2002,,,529.999971389771,6.09839916,1.65971004962921,,28.9732855,3,2,3
2002,74.758,3.8,99150.0015258789,2.71770859,,2.64800000190735,74.56568765,4,0,3
2002,73.932,3.8,117470.001220703,7.3933115,4.01734018325806,19.5900001525879,48.26404854,5,3,2
2002,72.112,24.5,3119.99988555908,7.61359835,2.13504004478455,10.7760000228882,46.43120892,6,0,2
2002,,,,,,,,7,4,2
2002,74.395,,389.999985694885,5.28793621,3.39525008201599,,,8,5,3
2002,79.93658536585367,2.5,353369.995117188,7.89332151,,6.36999988555908,58.78889399,9,4,3
2002,78.67804878048783,2.5,69370.002746582,9.3947649,5.52213001251221,4.84999990463257,99.6771794,10,2,3
2002,67.391,13.4,26180.0003051758,2.73279428,3.15445995330811,10.039999961853,20.52351408,11,0,2
2002,50.81,,209.999993443489,6.47216082,3.00493001937866,1.58599996566772,,12,1,0
2002,78.07560975609758,2.5,110849.998474121,8.3182106,,6.90999984741211,73.84478576,13,2,3
2002,56.025,15.5,2180.0000667572,3.04335403,2.15949010848999,0.689999997615814,,14,1,1
2002,51.384,20.5,959.999978542328,2.97113252,,2.73000001907349,,15,1,0
2002,66.43,15.1,27430.0003051758,2.25972915,2.01714992523193,3.89800000190735,19.82435712,16,0,1
2002,71.86585365853658,4.2,43599.9984741211,7.0809865,3.38608002662659,18.1100006103516,50.70176125,17,2,2
2002,74.822,,17219.9993133545,3.85486555,,1.10500001907349,70.59947504,18,0,3
2002,74.803,3.0,14560.0004196167,7.12647152,,27.5459995269775,18.25262314,19,2,2
2002,68.05609756097562,2.7,51840.0001525879,5.62329483,,10.9069995880127,84.29302577,20,2,2
2002,69.272,5.4,519.999980926514,4.71499634,,10.039999961853,,21,5,2
2002,78.08780487804879,,,,,,,22,5,3
2002,63.64,26.9,8300.00019073486,4.89645052,,2.49399995803833,29.82490728,23,3,1
2002,70.813,9.3,317760.009765625,8.69685745,3.75037002563477,9.36999988555908,36.58589826,24,3,2
2002,77.534,6.2,1370.00000476837,5.86123419,5.88062000274658,10.3199996948242,,25,5,3
2002,62.728,,239.999994635582,4.59563637,,1.88900005817413,62.86786039,26,0,1
2002,50.232,24.1,4030.00020980835,6.42154074,,21.1310005187988,,27,1,2
2002,44.063,40.1,250.0,4.22761345,1.5195699930191,5.7960000038147,19.5857164,28,1,0
2002,79.49024390243902,2.5,524349.975585938,8.85670376,4.99308013916016,7.65999984741211,77.57602197,29,5,3
2002,80.38536585365854,2.5,43569.9996948242,9.85215092,5.16421985626221,2.92000007629395,99.61526264,30,2,3
2002,76.894,3.2,49119.9989318848,7.26602364,4.08121013641357,10.1700000762939,51.43395989,31,3,3
2002,72.061,9.4,3810060.05859375,4.38285208,,4.23999977111816,14.36520496,32,0,2
2002,49.475,21.0,6840.00015258789,5.90390921,2.81048011779785,5.0310001373291,,33,6,1
2002,51.536,20.7,5130.00011444092,4.29479742,,6.69899988174438,,34,1,1
2002,73.517,9.1,56770.0004577637,5.73295689,4.26812982559204,14.4799995422363,15.49542283,35,3,2
2002,59.617,,109.999999403954,6.68114853,2.25841999053955,4.64900016784668,,36,1,1
2002,77.74,5.0,5519.99998092651,6.8690896,5.15044021606445,6.32999992370605,38.39468692,37,5,2
2002,77.105,2.5,26420.0000762939,7.11481667,9.57116985321045,3.30999994277954,40.08200834,38,5,2
2002,78.264,5.7,7170.00007629395,5.61565971,5.58166980743408,3.29999995231628,76.14944966,39,0,3
2002,78.22926829268293,2.5,833380.004882813,10.18365669,,8.47999954223633,95.82752079,40,2,3
2002,57.235,40.8,400.000005960464,3.58787632,8.44760036468506,28.0830001831055,24.86795846,41,1,1
2002,76.59756097560977,4.1,119.999997317791,4.6531105,,,,42,5,2
2002,76.89512195121951,2.5,53840.0001525879,8.70251179,8.2130298614502,4.26999998092651,86.80213909,43,2,3
2002,69.957,22.6,20879.9991607666,4.98649025,1.9140100479126,6.78000020980835,,44,5,2
2002,71.605,7.3,82400.0015258789,3.7300415,,25.8999996185303,21.18795411,45,1,1
2002,73.371,22.7,24170.0000762939,4.4733963,,4.89799976348877,40.03130024,46,3,2
2002,56.5,,680.000007152557,6.68851233,3.52390003204346,5.70300006866455,,47,1,0
2002,79.56829268292684,2.5,312750.0,6.80052805,4.13457012176514,11.1499996185303,93.64321295,48,2,3
2002,70.9048780487805,3.5,14949.9998092651,4.70043564,5.43460988998413,10.0299997329712,92.57887271,49,2,3
2002,53.349,44.2,4570.00017166138,4.7126298,3.63245010375977,3.13000011444092,2.627151311,50,1,0
2002,78.11951219512196,2.5,63439.998626709,7.62769508,6.01677989959717,10.4200000762939,80.5033269,51,2,3
2002,66.022,3.8,879.999995231628,2.983495,6.27586984634399,3.87299990653992,,52,4,2
2002,79.26097560975612,2.5,371019.989013672,10.02218628,,8.69999980926514,79.23920255,53,2,3
2002,57.791,12.1,5960.00003814697,3.33046246,,17.173999786377,,54,1,2
2002,78.14390243902439,2.5,530789.978027344,7.94137812,4.6285400390625,5.03999996185303,97.76231207,55,2,3
2002,70.22,5.9,2960.00003814697,7.81474257,2.23501992225647,12.5900001525879,46.59432981,56,0,2
2002,57.425,13.5,7429.99982833862,2.8882091,,8.53499984741211,4.885172662,57,1,1
2002,51.484,,1629.99999523163,5.3613739,2.59386992454529,4.55000019073486,,58,1,0
2002,51.123,,150.000005960464,5.82295132,,6.37599992752075,4.004654451,59,1,0
2002,53.84,,4630.00011444092,2.34720826,,8.71399974822998,,60,1,2
